Monat,Bilanz
Januar,-514057.61
Februar,-58537.59
März,493527.64
April,948552.88
Mai,948855.13
Juni,968928.27
Juli,1103264.51
August,864997.25
September,447346.13
Oktober,-12551.46
November,-410303.51
Dezember,-618922.93
